rxcui,final_codes,fix_action,confidence,evidence
1294025,C05AA01,OTHER,MED,Rectal hemorrhoid cream (hydrocortisone acetate+pramoxine); WHO C05AA01 fits hemorrhoid indication; A07EA02/D07/H02/S01 codes are wrong-context ester/route pollution
1294237,D08AJ08,KEEP_CURRENT,HIGH,Benzethonium chloride topical ointment; D08AJ08 already correct; allantoin has no WHO code
1299219,A01AB03,OTHER,MED,"Chlorhexidine gluconate Oral Spray; A01AB03 (antiinfectives for local oral treatment) is the standard classification for chlorhexidine mouth rinse/spray products, matching real-world Peridex/Corsodyl classification"
1299700,R03AB02,OTHER,MED,"Isoproterenol inhalation solution; inhalant route R03AB02 correct, drop systemic/cardiac C01CA02 and R03CB01 (different route/administration context)"
1304564,,OTHER,MED,"Infuvite parenteral multivitamin injection, no iron/minerals; A11JA ('Combinations of vitamins') is an empty WHO L4 branch (zero active L5 members); no alternative WHO combo code exists for a plain non-iron multivitamin parenteral product - genuine WHO classification gap"
1314792,B03AE04,OTHER,MED,"Tandem OB prenatal vitamin+iron+minerals capsule; matches WHO's dedicated B03AE04 'iron, multivitamins and minerals' code; preferred over the 13-code per-ingredient sprawl in current_final"
1359354,D04AB07|D06AX04|D06AX05,OTHER,MED,"Neosporin Plus (bacitracin/neomycin/polymyxin B/pramoxine); add pramoxine's real code D04AB07 and bacitracin D06AX05, alongside neomycin D06AX04"
1362211,C05AA01,OTHER,MED,Analpram HC rectal cream; same hemorrhoid-class reasoning as 1294025
1363423,D06AX07,OTHER,LOW,"Gentamicin irrigation solution (Gentaved, veterinary); no clean WHO irrigation-specific code exists; D06AX07 (topical antibacterial) is the closest available general-purpose leaf"
1423410,D08AE03,OTHER,MED,Camphor/phenol/tannic acid/zinc oxide topical ointment; D02AB (zinc products) is an empty WHO L4 branch; phenol has a real topical antiseptic code D08AE03; camphor/tannic acid/zinc oxide have no applicable WHO codes
1432276,D08AC02,KEEP_CURRENT,HIGH,Chlorhexidine/ethanol topical antiseptic pad; D08AC02 already correct
1488693,R06AA02,KEEP_CURRENT,HIGH,Diphenhydramine oral capsule; R06AA02 correct oral route
1534811,G03AA13,OTHER,HIGH,Ortho Evra transdermal patch (norelgestromin+ethinylestradiol); G03AA13 is WHO's dedicated code for exactly this combination
1541213,D07AA02|D08AC02,OTHER,HIGH,Chlorhexidine/hydrocortisone medicated shampoo; topical route -> D08AC02 (chlorhexidine) + D07AA02 (hydrocortisone weak topical); drop hemorrhoid/dental/GI/dressing pollution
1545144,C05AX04|C05AX06,OTHER,HIGH,Phenylephrine/zinc oxide rectal cream (hemorrhoid); add zinc's hemorrhoid-context code C05AX04 alongside phenylephrine C05AX06
1300191,J07AJ52,KEEP_CURRENT,HIGH,"Adacel Tdap vaccine; J07AJ52 (pertussis, purified antigen, combinations with toxoids) already correct dedicated combo code"
1734865,S01KA01,KEEP_CURRENT,HIGH,"Sodium hyaluronate ophthalmic prefilled syringe (Genvisc, viscosurgical aid); S01KA01 already correct"
1247879,A06AA02|A06AB06,KEEP_CURRENT,HIGH,Docusate/sennosides tablet; already correct
1248152,A06AA02|A06AB03|A11HA31,KEEP_CURRENT,HIGH,Docusate/danthron/calcium pantothenate tablet; already correct per-ingredient set
1291090,C05AA01,OTHER,MED,Hemril hydrocortisone acetate rectal suppository for hemorrhoids; C05AA01 (hemorrhoid class) preferred over A07EA02 (IBD colitis context)
1292321,D04AA32|D04AB07,OTHER,MED,Diphenhydramine/pramoxine topical lotion; diphenhydramine correctly D04AA32 (topical antihistamine); add pramoxine's real code D04AB07
1294372,R01BA03|R05DB05|R06AA02,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1367439,G02BB01,KEEP_CURRENT,HIGH,NuvaRing vaginal ring; G02BB01 already correct dedicated code
1535708,R01BA03|R06AA02,OTHER,HIGH,"Diphenhydramine/phenylephrine oral suspension (Dr. Cocoa); R06AA02 (diphenhydramine, oral) already correct; add R01BA03 (phenylephrine, oral decongestant, kept per route rule); drop ophthalmic-context S01FB01/S01XA20/R01AA04"
1544973,C05AX06,KEEP_CURRENT,HIGH,Phenylephrine/shark liver oil rectal cream (Formulation R); C05AX06 already correct
1551559,A09AB04|B05CB04|N02BA01,OTHER,MED,Zee-Seltzer (aspirin/citric acid/sodium bicarbonate effervescent antacid+analgesic); aspirin at analgesic dose -> N02BA01; citric acid A09AB04 and sodium bicarbonate B05CB04 kept as real per-ingredient codes; drop dental A01AD05 and antiplatelet-context B01AC06
1812470,R07AX30,KEEP_CURRENT,HIGH,Orkambi (ivacaftor/lumacaftor); R07AX30 dedicated combo code already correct
197374,N02BA01,OTHER,MED,"Plain aspirin 800mg ER Oral Tablet (single ingredient, high analgesic dose, not antiplatelet dose); N02BA01 (acetylsalicylic acid, analgesic) is correct; A01AD05 (dental) and B01AC06/N02BA51 (antiplatelet/combination context) don't fit a plain high-dose analgesic tablet"
1293468,R01BA03|R06AB04|R06AC01,OTHER,MED,"Chlorpheniramine/phenylephrine/pyrilamine tannate oral suspension; per-ingredient fallback (no verified dedicated combo code for this tannate combo), oral decongestant R01BA03 kept per route rule"
1297935,R01BA03|R05DA03|R06AA02,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1298287,D04AA32,KEEP_CURRENT,HIGH,Diphenhydramine/menthol topical solution; D04AA32 (topical antihistamine) already correct; menthol has no applicable code
1360120,C02AC01,OTHER,HIGH,"Clonidine transdermal patch (Catapres-TTS, for hypertension); C02AC01 (systemic antihypertensive) correct; N02CX02 (analgesic-adjuvant use context) and S01EA04 (ophthalmic glaucoma, wrong route) dropped"
1360266,G03FA01,OTHER,HIGH,"Combipatch transdermal (estradiol+norethindrone acetate) is an HRT product, not a contraceptive; G03FA01 'norethisterone and estrogen' is the correct WHO code"
1362063,B01AB01,OTHER,HIGH,"Heparin sodium prefilled syringe; systemic anticoagulant route B01AB01 correct, drop hemorrhoid-context C05BA03"
1245545,A03BB03|R01BA02|R06AB04,OTHER,HIGH,AlleRx combo pack (chlorpheniramine/methscopolamine/pseudoephedrine); drop ophthalmic-context S01FA03 duplicate of methylscopolamine
1251501,G03FA01,OTHER,HIGH,"Combipatch (different pack size); same correction - G03FA01, not G03FA11 (which is levonorgestrel+estrogen, wrong progestin)"
1359263,P02CC01|P02CF01,KEEP_CURRENT,HIGH,Ivermectin/pyrantel chewable tablet (PetTrust Plus); oral/systemic route already correct
1547464,B05BB01,KEEP_CURRENT,HIGH,"Multi-electrolyte injectable (Ca/Mg/K-acetate/Na-acetate/NaCl), no carbohydrate; B05BB01 correct"
1648115,D08AC02,OTHER,MED,"Chlorhexidine shampoo (Vetasan, veterinary); topical antiseptic use -> D08AC02, drop D09AA12 (medicated dressing context)"
1598277,M02AB01,KEEP_CURRENT,MED,Camphor/capsaicin/eucalyptus/menthol/methyl salicylate topical oil; M02AB01 (capsaicin) already correct as primary codeable ingredient
1487154,,OTHER,LOW,"Glycerin medicated pad (Dynamiclear, topical cold-sore product); A06AG04/A06AX01 are laxative/enema-context codes that do not fit this topical humectant use; no applicable WHO code found"
630796,B05BB02,OTHER,HIGH,"Glucose/KCl/NaCl injection contains carbohydrate (glucose); B05BB02 'electrolytes with carbohydrates' is correct, not B05BB01"
630923,,OTHER,MED,Zinc oxide alone topical cream; D02AB is an empty WHO L4 branch with zero active members; no alternative WHO code exists for generic topical zinc oxide skin-protectant use (genuine gap)
686894,B05BB02,KEEP_CURRENT,HIGH,Glucose/NaCl injectable; B05BB02 already correct
708129,S01XA20,KEEP_CURRENT,HIGH,Mineral oil ophthalmic ointment; S01XA20 (artificial tears) already correct
763548,D01AE12|D07AA02|D10AB02,OTHER,MED,"Coraz Lotion Kit: GPCK of hydrocortisone topical lotion (monotherapy, plain) + salicylic acid/sulfur shampoo, two separate copacked single-active products; hydrocortisone->D07AA02, salicylic acid->D01AE12, sulfur->D10AB02"
892815,R02AD01,OTHER,MED,"Benzocaine Oral Gel (Orabase, for mouth ulcers); R02AD01 (benzocaine, oral/throat local anesthetic branch) is the best-fit WHO code; benzocaine has no dedicated dental A01AD entry"
901792,P02CF01,KEEP_CURRENT,HIGH,Clorsulon/ivermectin injectable (Noromectin Plus); systemic route P02CF01 already correct; clorsulon has no WHO code
968817,,OTHER,MED,Dimethicone/zinc oxide topical spray; both D02AA (silicone products) and D02AB (zinc products) are empty WHO L4 branches; genuine WHO gap for this OTC skin-protectant combination
749761,G03AA07,KEEP_CURRENT,HIGH,duplicate safeguard
763418,G03AA07,OTHER,HIGH,Tri-Levlen triphasic OCP (levonorgestrel+ethinylestradiol); G03AA07 is WHO's general code for this hormone pair regardless of phasic dosing
861582,N02AB02|R06AD02,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
891706,,OTHER,MED,"Vitamin+mineral (zinc/copper) capsule, no iron; A11JB ('Vitamins with minerals') is an empty WHO L4 branch; genuine WHO gap for non-iron vitamin+mineral combos"
309473,N02BA51,OTHER,MED,"Aspirin/caffeine/codeine oral capsule (APC+codeine analgesic, no barbiturate); N02BA51 'acetylsalicylic acid, combinations excl. psycholeptics' is the dedicated WHO bucket for this class of OTC aspirin analgesic combos; drop A01AD05/B01AC06 monotherapy codes and R05DA04 (codeine antitussive-context, wrong - codeine here is an analgesic component of the combo, subsumed under N02BA51)"
310666,C02CC02,KEEP_CURRENT,HIGH,Guanethidine oral tablet; C02CC02 (oral antihypertensive) correct; S01EX01 (ophthalmic) wrong route
312185,D06AA03,KEEP_CURRENT,HIGH,Oxytetracycline/polymyxin B topical powder; D06AA03 (topical) already correct; systemic J01AA06 wrong route
198479,N02BA51,KEEP_CURRENT,HIGH,Aspirin/caffeine tablet; N02BA51 already correctly assigned
1991174,D08AJ01,OTHER,HIGH,"Benzalkonium chloride medicated bar soap; D08AJ01 correct, drop D09AA11 dressing-context"
2049725,M02AB01,OTHER,MED,"Camphor/capsaicin/menthol/methyl salicylate topical cream; M02AC is an empty WHO L4 branch; promote to M02AB01 (capsaicin), the real leaf, consistent with sibling single-ingredient capsaicin rows"
999971,C09DX03,KEEP_CURRENT,HIGH,Tribenzor (amlodipine/HCTZ/olmesartan); C09DX03 dedicated triple combo already correct
308908,A02AC01|A03AX13,OTHER,MED,"Calcium carbonate/simethicone chewable tablet; A02AC01 (calcium carbonate, antacid context) + A03AX13 (silicones/simethicone, real code) since product is explicitly an antacid+antiflatulent"
93252,C03EA01,KEEP_CURRENT,HIGH,Maxzide (HCTZ/triamterene); C03EA01 dedicated combo already correct
966538,R03BA01,KEEP_CURRENT,HIGH,Beclomethasone MDI (Qvar); R03BA01 (inhaled corticosteroid) already correct
309450,N02BA71,OTHER,MED,"Aspirin/butalbital/caffeine/codeine (Fiorinal-with-codeine pattern); butalbital is a barbiturate/psycholeptic, so WHO's N02BA71 'acetylsalicylic acid, combinations with psycholeptics' applies, not N02BA51"
1088950,A02AF02,OTHER,HIGH,Aluminum/magnesium hydroxide/simethicone oral suspension (Masanti); A02AF02 'ordinary salt combinations and antiflatulents' is the dedicated WHO code for this classic antacid+antiflatulent combination
