rxcui,verdict,recommended_final,confidence,evidence
1738589,IMPROVED,H02AB09,HIGH,ATCPROD confirms H02AB systemic corticosteroid; H02AB09=hydrocortisone; prod was 7-code ingredient pollution
1193353,IMPROVED,L01EJ01,HIGH,ATCPROD confirms L01EJ; WHO reclassified ruxolitinib L01XE18(old)->L01EJ01(JAK inhibitors)
1373142,IMPROVED,D04AB01,HIGH,ATCPROD confirms D04AB; D04AB01=lidocaine topical; dropped wrong-route N01BB02/R02AD02
1926571,IMPROVED,D07AA02,MED,Shampoo route confirmed; D07AA02=hydrocortisone weak topical corticosteroid is WHO-correct despite ATCPROD's coarser D11AC hit (D11AC has no hydrocortisone member per WHO index)
832907,IMPROVED,A11CC05|A12AA04,HIGH,A12AA04=calcium carbonate mineral supplement (WHO confirmed); prod missing this ingredient entirely
312894,BOTH_WRONG,D02AF,HIGH,"WHO guideline: 'all other preparations containing salicylic acid...classified in D02AF'; new_final's D11AF is an EMPTY/unpopulated WHO class (verified on atcddd.fhi.no, zero substances assigned); prod's D01AE12 is antifungal-context only, N02BA04 wrong route"
990993,IMPROVED,S01EB01|S01EB05,HIGH,"classMembers confirmed: pilocarpine=S01EB01, physostigmine=S01EB05 (ophthalmic parasympathomimetics); prod had wrong-route systemic N07AX01"
208589,IMPROVED,S01AA03|S01AA18|S01BA01,HIGH,"confirmed: neomycin=S01AA03, polymyxinB=S01AA18, dexamethasone=S01BA01 (all ophthalmic); prod was 5-code route pollution"
2046141,IMPROVED,L01FG01,HIGH,"ATCPROD confirms L01FG; bevacizumab biosimilar IV oncology infusion=L01FG01, not ophthalmic S01LA08"
1297551,IMPROVED,R01BA03|R05DB05|R06AA02,HIGH,confirmed all 3 ingredient codes (phenylephrine/carbetapentane/diphenhydramine) via classMembers; prod only had 1 of 3
701627,IMPROVED,A11CB,HIGH,ATCPROD confirms A11CB; WHO 'Vitamin A and D in combination' is terminal 5-char code w/ no L5 children; prod's A11CA01 ignored the vitamin D component
1086475,IMPROVED,R01BA03|R06AB04,MED,"adds missing phenylephrine code (ideally R01BA53 per WHO 'combos w/ antihistamines' guideline, but plain code still an improvement over missing entirely)"
313908,IMPROVED,D07BA04,HIGH,"WHO D07BA04='hydrocortisone and antiseptics', exact match for clioquinol+hydrocortisone gel"
1006703,IMPROVED,S01AB04,HIGH,"confirmed S01AB04=sulfacetamide (ophthalmic); prod's D10AB02 is sulfur's code, wrong substance/route entirely"
580294,IMPROVED,D01AC14,HIGH,ATCPROD confirms D01AC; sertaconazole topical=D01AC14; dropped wrong vaginal G01AF19
1116912,IMPROVED,A03BA01,HIGH,injectable atropine=A03BA01 systemic; dropped wrong ophthalmic S01FA01
1436929,IMPROVED,M02AB01,MED,"capsaicin has dual WHO codes (M02AB01 topical musculoskeletal, N01BX04 local anesthetic/Qutenza patch); low-dose OTC cream fits M02AB01"
1798481,IMPROVED,D04AB07,HIGH,confirmed D04AB07=pramoxine topical anesthetic; prod's C05AX04 wrong (hemorrhoidal class)
259047,IMPROVED,J01GB03,HIGH,injectable gentamicin=J01GB03 systemic aminoglycoside; prod had topical/otic route codes
750245,IMPROVED,G03AA06,HIGH,confirmed G03AA06='norgestrel and ethinylestradiol' exact WHO combo code; prod's G03CA01 only covered the estrogen component
108329,IMPROVED,D01AC08,HIGH,ATCPROD confirms D01AC; topical ketoconazole cream; dropped wrong systemic J02AB02
1436374,IMPROVED,M02AB01,MED,same capsaicin OTC-cream reasoning as rxcui 1436929
1245700,IMPROVED,A06AA02|A06AB04,MED,"adds docusate's code (A06AA02, sodium-salt WHO code used as active-moiety proxy, no distinct WHO code for docusate calcium); phenolphthalein=A06AB04 confirmed"
