rxcui,judgment,should_be,reason_category,note
602598,CHANGE_WRONG,G03AA12,missing-combo-L5,"Drospirenone+ethinylestradiol combo needs dedicated G03AA12; final splits into progestogen-alone/estrogen-alone codes plus L02AA03 (estramustine, an unrelated antineoplastic)."
1547121,CHANGE_WRONG,D08AG02,ingredient-level-overbroad,Topical antiseptic solution; D09AA09 (medicated dressings) and D11AC06 (medicated shampoo) are wrong dose-form codes for povidone-iodine.
476825,CHANGE_CORRECT,,,"2-ingredient oral cold combo; R06AB01 (brompheniramine) + R01BA03 (oral phenylephrine) both represented, matching the accepted pattern in row 1099486."
310905,CHANGE_WRONG,A01AA01|A01AA04,route-pollution,High-concentration professional/dental topical fluoride rinse (A01AA); A12CD01 is the systemic oral fluoride-supplement code and doesn't fit this product.
1088447,CHANGE_WRONG,A16AA01|C01EB09,l4-vs-l5-granularity,"Downgrades the specific, already-correct L5 ubidecarenone code C01EB09 to the vague L4 catch-all C01EX, and drops levocarnitine (A16AA01) entirely."
206223,CHANGE_CORRECT,,,Topical acne erythromycin correctly reclassified from systemic J01FA01 to D10AF02.
2183684,CHANGE_WRONG,R01BA03|R06AB04,incomplete-combo-coverage,"Drops chlorpheniramine (R06AB04) entirely, keeping only phenylephrine's code; compare accepted 2-ingredient pattern in row 1099486."
245001,CHANGE_CORRECT,,,Aluminium hydroxide + magnesium carbonate antacid maps to the dedicated combo code A02AD03.
204442,CHANGE_CORRECT,,,"Oral ibuprofen suspension correctly narrowed to M01AE01, dropping dexibuprofen (different substance) and the topical gel code."
1010900,CHANGE_CORRECT,,,"Injectable lidocaine correctly narrowed to local-anesthetic N01BB02, dropping topical/oromucosal route codes."
2166129,CHANGE_WRONG,R01BA03|R06AA02,incomplete-combo-coverage,"Drops diphenhydramine (R06AA02) entirely from a diphenhydramine+phenylephrine oral solution, keeping only the phenylephrine combinations code."
253182,CHANGE_CORRECT,,,Ingredient-level insulin regular human union legitimately adds A10AF01 (inhaled insulin formulation); human-adjudicated (ADJUDICATED_ADOPT).
1994362,CHANGE_CORRECT,,,"Ibrutinib reclassified to current WHO BTK-inhibitor code L01EL01 (post-restructuring), replacing legacy L01XE27."
1091941,CHANGE_CORRECT,,,"Topical salicylic acid acne solution correctly narrowed to D01AE12, dropping mismatched N02BA04 (acetylsalicylic acid/aspirin)."
211598,CHANGE_WRONG,D07AA02,ingredient-level-overbroad,"Plain hydrocortisone topical cream; C05AA01 (rectal), D07AB02/11 and D07AC16 (wrong potency class) and D07XA01 (combinations) are wrong route/formulation. Single active with no partner ingredient -> plain weak-potency topical D07AA02."
1011854,CHANGE_CORRECT,,,Topical lidocaine gel correctly narrowed to dermatological D04AB01.
1737563,UNSURE,N01BB02|C01BB01,wrong-route,"Injectable lidocaine legitimately carries dual WHO classification (local anesthetic N01BB02 + antiarrhythmic C01BB01); cannot confirm offline whether this specific branded Xylocaine vial is antiarrhythmic-only, justifying dropping N01BB02."
899660,CHANGE_CORRECT,,,"Nitroglycerin transdermal patch correctly narrowed to C01DA02, dropping an unrelated C05AE01."
1117106,CHANGE_CORRECT,,,"Bacitracin zinc/polymyxin B topical powder narrows to D06AX05 (bacitracin); WHO has no dedicated topical-skin code for polymyxin B, so single-code result is faithful, not a regression."
2629337,CHANGE_CORRECT,,,"Fentanyl prefilled syringe (parenteral) correctly narrowed to anesthesia code N01AH01, dropping the patch/lozenge analgesic code N02AB03."
1010033,CHANGE_CORRECT,,,"Generic injectable lidocaine correctly narrowed to N01BB02, consistent with row 1010900."
1244968,CHANGE_WRONG,R05CB13,wrong-route,"Nebulized hypertonic saline for inhalation (CF mucolytic use) is a pulmonary/mucolytic use, not nasal; R01AX (nasal, L4-only) is the wrong anatomical route and doesn't even reach L5."
1091910,CHANGE_WRONG,A01AA01,route-pollution,"Professional topical dental fluoride foam (A01AA01); A12CD01 (systemic fluoride supplement) wrongly appended, same bug pattern as row 310905."
1100894,CHANGE_CORRECT,,,"Calcium+cholecalciferol capsule maps to the genuine WHO terminal combination code A12AX (calcium combinations), consistent with similar terminal vitamin/mineral combo codes elsewhere in this batch (A11JA, A11CB)."
1535468,CHANGE_CORRECT,,,"Ceritinib reclassified to current WHO ALK-inhibitor code L01ED02, replacing legacy L01XE28."
1090522,UNSURE,,no-who-code-exists,Iodine povacrylex is a distinct antiseptic polymer from povidone-iodine; cannot confirm offline whether WHO has assigned it a dedicated L5 under D08AG or whether the L4-only result is the faithful ceiling.
312013,CHANGE_CORRECT,,,"Extended-release nitroglycerin capsule correctly narrowed to C01DA02, dropping unrelated C05AE01 (same fix as row 899660)."
1000717,CHANGE_CORRECT,,,"Topical sulfacetamide sodium acne gel reclassified into the antiinfective-acne class D10AF06, alongside erythromycin's D10AF02 in row 206223."
204423,CHANGE_CORRECT,,,"Hydrocortisone+neomycin+polymyxin B otic solution (classic Cortisporin-type combo) maps to the dedicated corticosteroid+antiinfective otic combo code S02CA03, replacing a multi-route kitchen-sink list."
307829,CHANGE_WRONG,D08AA02,wrong-route,"Vaginal insert; J01EB05 (systemic sulfonamide) and S01AB02 (ophthalmic sulfonamide) are both wrong-route additions for sulfisoxazole in a vaginal product; needs a vaginal anti-infective (G01A-class) code instead, which could not be pinned down precisely offline."
895040,CHANGE_CORRECT,,,"Otic acetic acid/antipyrine/benzocaine combo splits sensibly into S02AA10 (acetic acid, otic antiinfective) and S02DA03 (otic analgesic/anesthetic), replacing a multi-route kitchen-sink list."
